Title,Author,Rating,Ratings count,Reviews count,Pages,First published,Cover image,book_url,Genre
City of Bones,Cassandra Clare,4.08,"1,930,124 ratings","72,991 reviews","485 pages, Hardcover","First published March 27, 2007",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432730315i/256683.jpg,https://www.goodreads.com/book/show/256683.City_of_Bones,Fantasy
Twilight,Stephenie Meyer,3.64,"6,220,241 ratings","123,429 reviews","498 pages, Paperback","First published October 5, 2005",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1361039443i/41865.jpg,https://www.goodreads.com/book/show/41865.Twilight,Fantasy
A Darker Shade of Magic,V.E. Schwab,4.06,"319,446 ratings","39,669 reviews","400 pages, Hardcover","First published February 24, 2015",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1400322851i/22055262.jpg,https://www.goodreads.com/book/show/22055262-a-darker-shade-of-magic,Fantasy
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,4.25,"690,777 ratings","35,802 reviews","491 pages, Mass Market Paperback","First published January 1, 1990",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1615552073i/12067.jpg,https://www.goodreads.com/book/show/12067.Good_Omens,Fantasy
The Way of Kings,Brandon Sanderson,4.65,"437,016 ratings","30,563 reviews","1007 pages, Hardcover","First published August 31, 2010",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1659905828i/7235533.jpg,https://www.goodreads.com/book/show/7235533-the-way-of-kings,Fantasy
Crooked Kingdom,Leigh Bardugo,4.61,"562,482 ratings","63,966 reviews","561 pages, Kindle Edition","First published September 27, 2016",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1456172607i/22299763.jpg,https://www.goodreads.com/book/show/22299763-crooked-kingdom,Fantasy
Stardust,Neil Gaiman,4.10,"430,761 ratings","23,938 reviews","248 pages, Paperback","First published January 1, 1998",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1459127484i/16793.jpg,https://www.goodreads.com/book/show/16793.Stardust,Fantasy
Neverwhere,Neil Gaiman,4.17,"506,347 ratings","27,810 reviews","370 pages, Paperback","First published September 16, 1996",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348747943i/14497.jpg,https://www.goodreads.com/book/show/14497.Neverwhere,Fantasy
A Court of Wings and Ruin,Sarah J. Maas,4.45,"954,984 ratings","69,264 reviews","699 pages, Paperback","First published May 2, 2017",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1585623092i/50659472.jpg,https://www.goodreads.com/book/show/50659472-a-court-of-wings-and-ruin,Fantasy
The Sea of Monsters,Rick Riordan,4.24,"1,048,849 ratings","40,376 reviews","279 pages, Hardcover","First published April 1, 2006",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1400602661i/28186.jpg,https://www.goodreads.com/book/show/28186.The_Sea_of_Monsters,Fantasy
The Wise Man's Fear,Patrick Rothfuss,4.55,"525,436 ratings","26,091 reviews","994 pages, Hardcover","First published March 1, 2011",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1452624392i/1215032.jpg,https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear,Fantasy
The Lord of the Rings,J.R.R. Tolkien,4.52,"649,339 ratings","13,954 reviews","1216 pages, Paperback","First published October 20, 1955",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1566425108i/33.jpg,https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings,Fantasy
The Well of Ascension,Brandon Sanderson,4.38,"412,013 ratings","24,623 reviews","592 pages, Hardcover","First published August 21, 2007",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1619538925i/68429.jpg,https://www.goodreads.com/book/show/68429.The_Well_of_Ascension,Fantasy
Assassin's Apprentice,Robin Hobb,4.17,"301,623 ratings","15,067 reviews","435 pages, Mass Market Paperback","First published May 1, 1995",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1673728072i/77197.jpg,https://www.goodreads.com/book/show/77197.Assassin_s_Apprentice,Fantasy
Siege and Storm,Leigh Bardugo,3.83,"554,843 ratings","53,773 reviews","435 pages, Hardcover","First published June 4, 2013",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1362166252i/14061955.jpg,https://www.goodreads.com/book/show/14061955-siege-and-storm,Fantasy
The Lies of Locke Lamora,Scott Lynch,4.30,"278,393 ratings","19,222 reviews","752 pages, Kindle Edition","First published June 1, 2006",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1458646334i/29588376.jpg,https://www.goodreads.com/book/show/29588376-the-lies-of-locke-lamora,Fantasy
Crown of Midnight,Sarah J. Maas,4.35,"688,448 ratings","50,101 reviews","432 pages, Hardcover","First published August 15, 2013",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1673566594i/76705490.jpg,https://www.goodreads.com/book/show/76705490-crown-of-midnight,Fantasy
Harry Potter and the Cursed Child: Parts One and Two,J.K. Rowling,3.50,"956,448 ratings","71,943 reviews","343 pages, Hardcover","First published July 31, 2016",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1470082995i/29056083.jpg,https://www.goodreads.com/book/show/29056083-harry-potter-and-the-cursed-child,Fantasy
The Ocean at the End of the Lane,Neil Gaiman,4.02,"585,561 ratings","56,546 reviews","181 pages, Hardcover","First published June 18, 2013",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1497098563i/15783514.jpg,https://www.goodreads.com/book/show/15783514-the-ocean-at-the-end-of-the-lane,Fantasy
The Titan's Curse,Rick Riordan,4.36,"949,452 ratings","32,445 reviews","320 pages, Paperback","First published May 5, 2007",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1361038385i/561456.jpg,https://www.goodreads.com/book/show/561456.The_Titan_s_Curse,Fantasy
Graceling,Kristin Cashore,4.07,"446,470 ratings","25,907 reviews","471 pages, Hardcover","First published October 1, 2008",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1331548394i/3236307.jpg,https://www.goodreads.com/book/show/3236307-graceling,Fantasy
Red Queen,Victoria Aveyard,4.01,"918,775 ratings","63,348 reviews","388 pages, Hardcover","First published February 10, 2015",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1449778912i/22328546.jpg,https://www.goodreads.com/book/show/22328546-red-queen,Fantasy
Uprooted,Naomi Novik,4.04,"222,640 ratings","28,017 reviews","438 pages, Hardcover","First published May 19, 2015",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1550135418i/22544764.jpg,https://www.goodreads.com/book/show/22544764-uprooted,Fantasy
The Color of Magic,Terry Pratchett,4.00,"370,917 ratings","12,898 reviews","228 pages, Paperback","First published December 1, 1983",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1407111017i/34497.jpg,https://www.goodreads.com/book/show/34497.The_Color_of_Magic,Fantasy
The Princess Bride,William Goldman,4.26,"875,592 ratings","24,550 reviews","429 pages, Paperback","First published September 1, 1973",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327903636i/21787.jpg,https://www.goodreads.com/book/show/21787.The_Princess_Bride,Fantasy
