Title,Author,Rating,Ratings count,Reviews count,Pages,First published,Cover image,book_url,Genre
Consider Phlebas,Iain M. Banks,3.86,"87,144 ratings","4,670 reviews","467 pages, Paperback","First published April 23, 1987",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327951890i/8935689.jpg,https://www.goodreads.com/book/show/8935689-consider-phlebas,Science Fiction
Cress,Marissa Meyer,4.41,"349,696 ratings","32,129 reviews","566 pages, Hardcover","First published February 4, 2014",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1470057005i/13206828.jpg,https://www.goodreads.com/book/show/13206828-cress,Science Fiction
The 5th Wave,Rick Yancey,4.01,"445,106 ratings","31,282 reviews","457 pages, Hardcover","First published May 7, 2013",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1359853842i/16101128.jpg,https://www.goodreads.com/book/show/16101128-the-5th-wave,Science Fiction
Twenty Thousand Leagues Under the Sea,Jules Verne,3.89,"242,681 ratings","9,416 reviews","269 pages, Hardcover","First published March 20, 1869",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1494979127i/33507.jpg,https://www.goodreads.com/book/show/33507.Twenty_Thousand_Leagues_Under_the_Sea,Science Fiction
Sleeping Giants,Sylvain Neuvel,3.82,"86,694 ratings","12,007 reviews","320 pages, Hardcover","First published April 26, 2016",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1459785141i/25733990.jpg,https://www.goodreads.com/book/show/25733990-sleeping-giants,Science Fiction
Kindred,Octavia E. Butler,4.30,"190,890 ratings","21,290 reviews","288 pages, Paperback","First published January 1, 1979",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1339423248i/60931.jpg,https://www.goodreads.com/book/show/60931.Kindred,Science Fiction
Abaddon's Gate,James S.A. Corey,4.27,"119,762 ratings","6,361 reviews","539 pages, Paperback","First published June 4, 2013",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1407572059i/16131032.jpg,https://www.goodreads.com/book/show/16131032-abaddon-s-gate,Science Fiction
Solaris,Stanisław Lem,4.00,"98,266 ratings","6,128 reviews","204 pages, Paperback","First published January 1, 1961",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1498631519i/95558.jpg,https://www.goodreads.com/book/show/95558.Solaris,Science Fiction
Mostly Harmless,Douglas Adams,3.97,"125,413 ratings","3,311 reviews","288 pages, Paperback","First published October 12, 1992",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1397933521i/569429.jpg,https://www.goodreads.com/book/show/569429.Mostly_Harmless,Science Fiction
The Andromeda Strain,Michael Crichton,3.91,"248,844 ratings","5,418 reviews","327 pages, Mass Market Paperback","First published September 1, 1969",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1587497243i/7670.jpg,https://www.goodreads.com/book/show/7670.The_Andromeda_Strain,Science Fiction
Allegiant,Veronica Roth,3.61,"1,004,676 ratings","69,795 reviews","531 pages, Hardcover","First published October 22, 2013",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1395582745i/18710190.jpg,https://www.goodreads.com/book/show/18710190-allegiant,Science Fiction
Stories of Your Life and Others,Ted Chiang,4.26,"94,966 ratings","11,397 reviews","281 pages, ebook","First published July 5, 2002",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1356138316i/223380.jpg,https://www.goodreads.com/book/show/223380.Stories_of_Your_Life_and_Others,Science Fiction
Contact,Carl Sagan,4.14,"138,289 ratings","4,188 reviews","580 pages, Mass Market Paperback","First published September 1, 1985",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1602082958i/61666.jpg,https://www.goodreads.com/book/show/61666.Contact,Science Fiction
Rogue Protocol,Martha Wells,4.27,"87,849 ratings","7,364 reviews","158 pages, Hardcover","First published August 7, 2018",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1506001607i/35519101.jpg,https://www.goodreads.com/book/show/35519101-rogue-protocol,Science Fiction
Binti,Nnedi Okorafor,3.88,"68,409 ratings","9,785 reviews","96 pages, ebook","First published September 22, 2015",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1433804020i/25667918.jpg,https://www.goodreads.com/book/show/25667918-binti,Science Fiction
Cat's Cradle,Kurt Vonnegut Jr.,4.16,"387,154 ratings","14,071 reviews","179 pages, Paperback","First published January 1, 1963",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327867150i/135479.jpg,https://www.goodreads.com/book/show/135479.Cat_s_Cradle,Science Fiction
Golden Son,Pierce Brown,4.45,"208,592 ratings","16,720 reviews","466 pages, ebook","First published January 6, 2015",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1394684475i/18966819.jpg,https://www.goodreads.com/book/show/18966819-golden-son,Science Fiction
Parable of the Sower,Octavia E. Butler,4.21,"145,218 ratings","15,439 reviews","345 pages, Paperback","First published October 1, 1993",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442169447i/52397.jpg,https://www.goodreads.com/book/show/52397.Parable_of_the_Sower,Science Fiction
