Title,Author,Rating,Ratings count,Reviews count,Pages,First published,Cover image,book_url,Genre
The Martian,Andy Weir,4.41,1052216,83862,384,2011,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1413706054i/18007564.jpg,https://www.goodreads.com/book/show/18007564-the-martian,Science Fiction
Ready Player One,Ernest Cline,4.23,1101266,99254,374,2011,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1500930947i/9969571.jpg,https://www.goodreads.com/book/show/9969571-ready-player-one,Science Fiction
Fahrenheit 451,Ray Bradbury,3.97,2249132,67502,194,1953,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1383718290i/13079982.jpg,https://www.goodreads.com/book/show/13079982-fahrenheit-451,Science Fiction
1984,George Orwell,4.19,4263690,104061,368,1949,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1657781256i/61439040.jpg,https://www.goodreads.com/book/show/61439040-1984,Science Fiction
The Hunger Games,Suzanne Collins,4.33,8067062,200121,374,2008,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1586722975i/2767052.jpg,https://www.goodreads.com/book/show/2767052-the-hunger-games,Science Fiction
Brave New World,Aldous Huxley,3.99,1760988,43397,268,1932,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1575509280i/5129.jpg,https://www.goodreads.com/book/show/5129.Brave_New_World,Science Fiction
Foundation,Isaac Asimov,4.17,510967,14981,244,1951,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1417900846i/29579.jpg,https://www.goodreads.com/book/show/29579.Foundation,Science Fiction
Do Androids Dream of Electric Sheep?,Philip K. Dick,4.09,425737,17732,258,1968,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1507838927i/36402034.jpg,https://www.goodreads.com/book/show/36402034-do-androids-dream-of-electric-sheep,Science Fiction
Catching Fire,Suzanne Collins,4.31,3286880,112684,391,2009,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1586722941i/6148028.jpg,https://www.goodreads.com/book/show/6148028-catching-fire,Science Fiction
Mockingjay,Suzanne Collins,4.07,2988732,118507,390,2010,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1586722918i/7260188.jpg,https://www.goodreads.com/book/show/7260188-mockingjay,Science Fiction
The Time Machine,H.G. Wells,3.9,496681,15034,118,1895,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327942880i/2493.jpg,https://www.goodreads.com/book/show/2493.The_Time_Machine,Science Fiction
Neuromancer,William Gibson,3.9,311445,12875,268,1984,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554437249i/6088007.jpg,https://www.goodreads.com/book/show/6088007-neuromancer,Science Fiction
"I, Robot",Isaac Asimov,4.21,331639,9352,224,1950,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1609035271i/41804.jpg,https://www.goodreads.com/book/show/41804.I_Robot,Science Fiction
Leviathan Wakes,James S.A. Corey,4.29,245563,16822,592,2011,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1411013134i/8855321.jpg,https://www.goodreads.com/book/show/8855321-leviathan-wakes,Science Fiction
